Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Costa e Ricci S.p.A.,S.p.A.,Plastica,2020,69147472283,Micro impresa,3,0.09,+39 081 2449524,costaericci@legalmail.it,https://www.costaericci.it,"Via Firenze, 23 - 80174 Napoli (NA)",80174,Napoli,NA,Azienda a conduzione familiare con 5 anni di esperienza nel settore plastica. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 0.09 milioni di euro.
Piemonte Tessile S.r.l.,S.r.l.,Tessile,2018,62932838865,Media impresa,138,17.96,+39 06 1203431,vendite@piemontetessile.it,https://www.piemontetessile.it,"Via Garibaldi, 48 - 70173 Bari (BA)",70173,Bari,BA,Azienda a conduzione familiare con 7 anni di esperienza nel settore tessile. Siamo una media impresa con 138 dipendenti e un fatturato annuo di 17.96 milioni di euro.
Ferrari e Romano S.r.l.,S.r.l.,Turismo,2014,40225851358,Micro impresa,6,1.43,+39 051 8527077,ufficio@ferrarieromano.it,https://www.ferrarieromano.it,"Via Torino, 69 - 00182 Roma (RM)",00182,Roma,RM,"PMI italiana attiva nel settore turismo dal 2014. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
R.Y.C.B. S.a.s.,S.a.s.,Meccanica,2016,77389123117,Micro impresa,1,0.84,+39 06 6576234,contatti@rycb.it,,"Via Marconi, 9 - 61083 Ancona (AN)",61083,Ancona,AN,"PMI italiana attiva nel settore meccanica dal 2016. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
L.S.K. S.r.l.,S.r.l.,Plastica,1995,88703391749,Micro impresa,4,0.48,+39 049 6319155,ufficio@lsk.it,https://www.lsk.it,"Via IV Novembre, 87 - 50151 Firenze (FI)",50151,Firenze,FI,"PMI italiana attiva nel settore plastica dal 1995. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marino Servizi S.r.l.,S.r.l.,ICT,2012,81203265858,Micro impresa,7,0.12,+39 340 7884112,ufficio@marinoservizi.it,https://www.marinoservizi.it,"Via del Lavoro, 195 - 17047 Varese (VA)",17047,Varese,VA,"Realtà imprenditoriale italiana fondata nel 2012, specializzata nel settore ict. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.12 milioni di euro."
D.I. S.r.l.,S.r.l.,Turismo,1996,92902630609,Micro impresa,2,1.68,+39 081 4633483,ufficio@di.it,,"Viale della Repubblica, 146 - 20054 Monza (MB)",20054,Monza,MB,"Fondata nel 1996, la nostra azienda opera nel settore turismo con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Esposito - De Luca S.a.s.,S.a.s.,Artigianato,1999,78174906114,Micro impresa,4,1.36,+39 338 4277581,contatti@espositodeluca.it,https://www.espositodeluca.it,"Via Fermi, 166 - 69047 Como (CO)",69047,Como,CO,Azienda a conduzione familiare con 26 anni di esperienza nel settore artigianato. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.36 milioni di euro.
N.D.H.H.,Ditta individuale,Meccanica,1996,96659235649,Micro impresa,8,1.83,+39 02 3590350,amministrazione@ndhh.it,https://www.ndhh.it,"Via Venezia, 141 - 13093 Bergamo (BG)",13093,Bergamo,BG,"Realtà imprenditoriale italiana fondata nel 1996, specializzata nel settore meccanica. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 1.83 milioni di euro."
T.M.,Ditta individuale,Manifatturiero,2015,91508629593,Micro impresa,6,1.73,+39 010 4868625,tm@legalmail.it,https://www.tm.it,"Via Venezia, 183 - 94097 Reggio Emilia (RE)",94097,Reggio Emilia,RE,"Fondata nel 2015, la nostra azienda opera nel settore manifatturiero con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Plasttech S.r.l.,S.r.l.,Turismo,2009,52437065015,Micro impresa,5,1.27,+39 338 4799656,plasttech@outlook.it,https://www.plasttech.it,"Via Fermi, 157 - 80189 Napoli (NA)",80189,Napoli,NA,"Da oltre 16 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Napoli, conta 5 collaboratori e un fatturato di 1.27 milioni di euro."
Idroexport S.r.l.,S.r.l.,Legno e arredo,2009,23688398719,Micro impresa,9,1.3,+39 393 2446394,vendite@idroexport.it,,"Via IV Novembre, 57 - 66065 Como (CO)",66065,Como,CO,"Fondata nel 2009, la nostra azienda opera nel settore legno e arredo con 9 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Autosystem,Ditta individuale,Turismo,2000,05782121456,Micro impresa,2,1.06,+39 091 1240513,autosystem@pec.it,https://www.autosystem.it,"Via Garibaldi, 26 - 49043 Bolzano (BZ)",49043,Bolzano,BZ,Azienda a conduzione familiare con 25 anni di esperienza nel settore turismo. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.06 milioni di euro.
Lombardi - Bruno S.r.l.,S.r.l.,Trasporti,2005,47274862925,Micro impresa,3,0.44,+39 391 7986743,info@lombardibruno.it,https://www.lombardibruno.it,"Via Garibaldi, 59 - 75022 Trento (TN)",75022,Trento,TN,"Fondata nel 2005, la nostra azienda opera nel settore trasporti con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Ferrari Edilizia S.a.s.,S.a.s.,Trasporti,2006,22579517612,Micro impresa,1,1.31,+39 049 6811957,info@ferrariedilizia.it,https://www.ferrariedilizia.it,"Via dell'Artigianato, 86 - 40167 Bologna (BO)",40167,Bologna,BO,"Da oltre 19 anni siamo specializzati nel settore trasporti. La nostra azienda, con sede a Bologna, conta 1 collaboratori e un fatturato di 1.31 milioni di euro."
Bianchi & Rossi S.a.s.,S.a.s.,Servizi alle imprese,2014,50409298882,Micro impresa,2,0.27,+39 329 3310505,amministrazione@bianchierossi.it,https://www.bianchierossi.it,"Via dell'Artigianato, 9 - 10018 Treviso (TV)",10018,Treviso,TV,"PMI italiana attiva nel settore servizi alle imprese dal 2014. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Umbria Edile S.n.c.,S.n.c.,Elettronica,2014,61854361741,Micro impresa,4,1.31,+39 049 3115541,info@umbriaedile.it,,"Via Firenze, 39 - 40100 Bologna (BO)",40100,Bologna,BO,"Fondata nel 2014, la nostra azienda opera nel settore elettronica con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Rossi & Costa S.n.c.,S.n.c.,Trasporti,2008,92650493511,Micro impresa,4,0.92,+39 081 8867216,ufficio@rossiecosta.it,https://www.rossiecosta.it,"Viale dell'Indipendenza, 79 - 66032 Parma (PR)",66032,Parma,PR,"PMI italiana attiva nel settore trasporti dal 2008. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Plastfood,Ditta individuale,Servizi alle imprese,2011,91738170087,Micro impresa,9,1.81,+39 06 9671210,ufficio@plastfood.it,https://www.plastfood.it,"Via dell'Industria, 64 - 40030 Ancona (AN)",40030,Ancona,AN,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore servizi alle imprese. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 1.81 milioni di euro."
Lazio Edile,Ditta individuale,Servizi alle imprese,2005,68085299425,Micro impresa,7,0.36,+39 02 1703978,info@lazioedile.it,https://www.lazioedile.it,"Via Galilei, 92 - 50145 Firenze (FI)",50145,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2005, specializzata nel settore servizi alle imprese. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.36 milioni di euro."
Autocomponents S.r.l.,S.r.l.,Tessile,2011,88111480039,Piccola impresa,47,2.17,+39 045 7951980,autocomponents@yahoo.it,https://www.autocomponents.it,"Via Marconi, 44 - 31023 Vicenza (VI)",31023,Vicenza,VI,"Da oltre 14 anni siamo specializzati nel settore tessile. La nostra azienda, con sede a Vicenza, conta 47 collaboratori e un fatturato di 2.17 milioni di euro."
Tessilequality S.r.l.,S.r.l.,Edilizia,2013,66638683074,Micro impresa,2,0.92,+39 081 6566867,info@tessilequality.it,https://www.tessilequality.it,"Viale delle Nazioni, 181 - 25136 Brescia (BS)",25136,Brescia,BS,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore edilizia. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.92 milioni di euro."
Cartasolutions S.a.s.,S.a.s.,Commercio,2022,79319000357,Micro impresa,6,0.57,+39 081 3803334,ufficio@cartasolutions.it,https://www.cartasolutions.it,"Via del Lavoro, 39 - 35085 Cagliari (CA)",35085,Cagliari,CA,"Da oltre 3 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Cagliari, conta 6 collaboratori e un fatturato di 0.57 milioni di euro."
Veneto Legno S.r.l.,S.r.l.,Tessile,2015,44372786166,Micro impresa,8,0.92,+39 049 4558262,venetolegno@libero.it,https://www.venetolegno.it,"Viale dell'Indipendenza, 194 - 59074 Bergamo (BG)",59074,Bergamo,BG,Azienda a conduzione familiare con 10 anni di esperienza nel settore tessile. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 0.92 milioni di euro.
Autoenergy S.r.l.,S.r.l.,Edilizia,2023,61841790051,Micro impresa,1,1.09,+39 011 4522412,ufficio@autoenergy.it,https://www.autoenergy.it,"Via dell'Industria, 160 - 38051 Perugia (PG)",38051,Perugia,PG,"Fondata nel 2023, la nostra azienda opera nel settore edilizia con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Brianza Legno S.a.s.,S.a.s.,Manifatturiero,2021,18445895926,Micro impresa,6,1.7,+39 392 2987039,contatti@brianzalegno.it,https://www.brianzalegno.it,"Via Firenze, 34 - 25122 Brescia (BS)",25122,Brescia,BS,"Fondata nel 2021, la nostra azienda opera nel settore manifatturiero con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Marche Plastica,Ditta individuale,Servizi alla persona,1994,18558076724,Micro impresa,1,0.17,+39 011 9848992,amministrazione@marcheplastica.it,https://www.marcheplastica.it,"Viale della Repubblica, 116 - 70038 Monza (MB)",70038,Monza,MB,Azienda a conduzione familiare con 31 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.17 milioni di euro.
Conti & Colombo S.n.c.,S.n.c.,Artigianato,1965,82349579831,Micro impresa,2,0.73,+39 049 5927412,contiecolombo@yahoo.it,https://www.contiecolombo.it,"Via Venezia, 18 - 23084 Ancona (AN)",23084,Ancona,AN,Azienda a conduzione familiare con 60 anni di esperienza nel settore artigianato. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 0.73 milioni di euro.
Esposito e Gallo S.r.l.,S.r.l.,Commercio,2016,06554026242,Micro impresa,9,0.07,+39 011 8250298,espositoegallo@gmail.com,https://www.espositoegallo.it,"Via XX Settembre, 42 - 16010 Varese (VA)",16010,Varese,VA,Azienda a conduzione familiare con 9 anni di esperienza nel settore commercio. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 0.07 milioni di euro.
Umbria Vetro,Ditta individuale,Servizi alla persona,2000,90678079673,Piccola impresa,40,5.0,+39 055 3200203,umbriavetro@outlook.it,,"Via Garibaldi, 47 - 51041 Modena (MO)",51041,Modena,MO,"Da oltre 25 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Modena, conta 40 collaboratori e un fatturato di 5.0 milioni di euro."
Y.Q. S.r.l.,S.r.l.,ICT,2001,47747406383,Micro impresa,4,0.86,+39 051 5736491,ufficio@yq.it,https://www.yq.it,"Via XXV Aprile, 128 - 20123 Milano (MI)",20123,Milano,MI,"PMI italiana attiva nel settore ict dal 2001. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
B.Q.O.R. S.r.l.,S.r.l.,Tessile,2007,76116121351,Micro impresa,8,1.81,+39 347 9999206,vendite@bqor.it,,"Via Firenze, 153 - 54062 Reggio Emilia (RE)",54062,Reggio Emilia,RE,Azienda a conduzione familiare con 18 anni di esperienza nel settore tessile. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 1.81 milioni di euro.
S.T. S.p.A.,S.p.A.,Plastica,1997,89285628178,Micro impresa,5,1.61,+39 02 9341561,contatti@st.it,https://www.st.it,"Via Firenze, 140 - 40192 Bologna (BO)",40192,Bologna,BO,"Realtà imprenditoriale italiana fondata nel 1997, specializzata nel settore plastica. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 1.61 milioni di euro."
Marche Edile S.n.c.,S.n.c.,Agricoltura,2010,78376589990,Micro impresa,4,0.11,+39 06 4137409,vendite@marcheedile.it,https://www.marcheedile.it,"Via Napoli, 92 - 43067 Reggio Emilia (RE)",43067,Reggio Emilia,RE,"Da oltre 15 anni siamo specializzati nel settore agricoltura. La nostra azienda, con sede a Reggio Emilia, conta 4 collaboratori e un fatturato di 0.11 milioni di euro."
Marino e Marino S.r.l.,S.r.l.,ICT,1996,46436209320,Piccola impresa,17,8.69,+39 051 7617711,amministrazione@marinoemarino.it,https://www.marinoemarino.it,"Via dell'Industria, 17 - 23048 Ancona (AN)",23048,Ancona,AN,Azienda a conduzione familiare con 29 anni di esperienza nel settore ict. Siamo una piccola impresa con 17 dipendenti e un fatturato annuo di 8.69 milioni di euro.
Ferrari Costruzioni S.r.l.s.,S.r.l.s.,Manifatturiero,2016,25841481539,Piccola impresa,41,3.75,+39 370 6721803,info@ferraricostruzioni.it,https://www.ferraricostruzioni.it,"Via II Giugno, 16 - 12017 Prato (PO)",12017,Prato,PO,"Da oltre 9 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Prato, conta 41 collaboratori e un fatturato di 3.75 milioni di euro."
Colombo Legno S.n.c.,S.n.c.,Servizi alle imprese,2000,59003260206,Micro impresa,2,1.53,+39 02 1712923,amministrazione@colombolegno.it,https://www.colombolegno.it,"Via Marconi, 108 - 86093 Ancona (AN)",86093,Ancona,AN,Azienda a conduzione familiare con 25 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.53 milioni di euro.
Cartaengineering S.p.A.,S.p.A.,Commercio,2008,54153103304,Micro impresa,7,0.29,+39 081 3409530,info@cartaengineering.it,https://www.cartaengineering.it,"Via Venezia, 51 - 26027 Monza (MB)",26027,Monza,MB,"Realtà imprenditoriale italiana fondata nel 2008, specializzata nel settore commercio. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.29 milioni di euro."
Greco Legno S.r.l.,S.r.l.,Manifatturiero,1998,66901868651,Micro impresa,2,1.72,+39 011 8925939,contatti@grecolegno.it,,"Via delle Industrie, 46 - 43010 Prato (PO)",43010,Prato,PO,"Fondata nel 1998, la nostra azienda opera nel settore manifatturiero con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno - Marino S.n.c.,S.n.c.,Servizi alle imprese,2022,36759209438,Micro impresa,8,1.64,+39 350 7982888,ufficio@brunomarino.it,https://www.brunomarino.it,"Via Marconi, 188 - 00127 Roma (RM)",00127,Roma,RM,"Realtà imprenditoriale italiana fondata nel 2022, specializzata nel settore servizi alle imprese. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 1.64 milioni di euro."
Piemonte Edile S.n.c.,S.n.c.,Tessile,2018,59314476985,Micro impresa,6,0.08,+39 02 9291276,piemonteedile@libero.it,https://www.piemonteedile.it,"Via delle Industrie, 162 - 15099 Monza (MB)",15099,Monza,MB,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore tessile. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.08 milioni di euro."
Romagna Stampa S.r.l.,S.r.l.,Meccanica,2014,31972004444,Micro impresa,7,1.62,+39 327 7276942,amministrazione@romagnastampa.it,https://www.romagnastampa.it,"Via dell'Industria, 173 - 58014 Monza (MB)",58014,Monza,MB,"Fondata nel 2014, la nostra azienda opera nel settore meccanica con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo-Bruno S.r.l.s.,S.r.l.s.,Servizi alla persona,2018,34974796062,Micro impresa,3,1.97,+39 045 5922029,vendite@colombobruno.it,https://www.colombobruno.it,"Via Firenze, 64 - 91099 Venezia (VE)",91099,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore servizi alla persona. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 1.97 milioni di euro."
W.G. S.r.l.,S.r.l.,Trasporti,2006,06324441198,Micro impresa,4,0.41,+39 388 5956841,contatti@wg.it,https://www.wg.it,"Via I Maggio, 178 - 20190 Milano (MI)",20190,Milano,MI,Azienda a conduzione familiare con 19 anni di esperienza nel settore trasporti. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 0.41 milioni di euro.
Marino-Marino Società cooperativa,Società cooperativa,ICT,2018,16902246796,Piccola impresa,24,6.36,+39 391 4997671,amministrazione@marinomarino.it,https://www.marinomarino.it,"Via Fermi, 139 - 40136 Bologna (BO)",40136,Bologna,BO,"Fondata nel 2018, la nostra azienda opera nel settore ict con 24 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
De Luca-Mancini S.r.l.,S.r.l.,Chimica,2019,88022293360,Micro impresa,8,1.3,+39 081 4652529,delucamancini@gmail.com,https://www.delucamancini.it,"Via Venezia, 125 - 97011 Prato (PO)",97011,Prato,PO,Azienda a conduzione familiare con 6 anni di esperienza nel settore chimica. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 1.3 milioni di euro.
Giordano - Lombardi S.r.l.,S.r.l.,Commercio,2003,61594628237,Micro impresa,7,0.19,+39 011 5445140,giordanolombardi@pec.it,https://www.giordanolombardi.it,"Via delle Industrie, 93 - 42035 Cagliari (CA)",42035,Cagliari,CA,"Realtà imprenditoriale italiana fondata nel 2003, specializzata nel settore commercio. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.19 milioni di euro."
Plastproject S.r.l.,S.r.l.,Meccanica,2016,37590352144,Micro impresa,8,1.06,+39 049 2873792,amministrazione@plastproject.it,https://www.plastproject.it,"Via Marconi, 91 - 35156 Padova (PD)",35156,Padova,PD,"Fondata nel 2016, la nostra azienda opera nel settore meccanica con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romano Meccanica S.r.l.,S.r.l.,Agricoltura,2014,28163945043,Micro impresa,9,1.49,+39 055 9840212,contatti@romanomeccanica.it,,"Via delle Industrie, 10 - 38014 Perugia (PG)",38014,Perugia,PG,"PMI italiana attiva nel settore agricoltura dal 2014. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Autoenergy S.r.l.,S.r.l.,Plastica,2007,67304641154,Micro impresa,3,1.09,+39 02 1130591,info@autoenergy.it,,"Via Torino, 170 - 54017 Vicenza (VI)",54017,Vicenza,VI,"Da oltre 18 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Vicenza, conta 3 collaboratori e un fatturato di 1.09 milioni di euro."
